Country,Commodity - Transaction,Year,Quantity-Terajoules,Quantity Footnotes
Algeria,Natural gas (including LNG) - final consumption,2018,878090,
Algeria,Natural gas (including LNG) - final consumption,2017,722630,
Algeria,Natural gas (including LNG) - final consumption,2016,710104.158,
Algeria,Natural gas (including LNG) - final consumption,2015,685338,
Algeria,Natural gas (including LNG) - final consumption,2014,605496,
Algeria,Natural gas (including LNG) - final consumption,2013,536329,
Algeria,Natural gas (including LNG) - final consumption,2012,516378,
Algeria,Natural gas (including LNG) - final consumption,2011,456151,
Algeria,Natural gas (including LNG) - final consumption,2010,423947,
Algeria,Natural gas (including LNG) - final consumption,2009,413605,
Algeria,Natural gas (including LNG) - final consumption,2008,385764,
Algeria,Natural gas (including LNG) - final consumption,2007,399646,
Algeria,Natural gas (including LNG) - final consumption,2006,373152,
Algeria,Natural gas (including LNG) - final consumption,2005,324393,1
Algeria,Natural gas (including LNG) - final consumption,2004,238629.995,
Algeria,Natural gas (including LNG) - final consumption,2003,320230,
Algeria,Natural gas (including LNG) - final consumption,2002,288533.9948,
Algeria,Natural gas (including LNG) - final consumption,2001,268407,
Algeria,Natural gas (including LNG) - final consumption,2000,281164,
Algeria,Natural gas (including LNG) - final consumption,1999,272960,
Angola,Natural gas (including LNG) - final consumption,2018,15068,
Angola,Natural gas (including LNG) - final consumption,2017,15530,
Angola,Natural gas (including LNG) - final consumption,2016,27393,
Angola,Natural gas (including LNG) - final consumption,2015,29260,
Angola,Natural gas (including LNG) - final consumption,2014,10359,
Angola,Natural gas (including LNG) - final consumption,2013,13862,
Angola,Natural gas (including LNG) - final consumption,2012,28880,
Angola,Natural gas (including LNG) - final consumption,2011,28500,
Angola,Natural gas (including LNG) - final consumption,2010,27854,
Angola,Natural gas (including LNG) - final consumption,2009,26220,
Angola,Natural gas (including LNG) - final consumption,2008,25840,
Angola,Natural gas (including LNG) - final consumption,2007,32387.43,
Angola,Natural gas (including LNG) - final consumption,2006,26534.28,
Angola,Natural gas (including LNG) - final consumption,2005,25363.65,
Angola,Natural gas (including LNG) - final consumption,2004,29265.75,
Angola,Natural gas (including LNG) - final consumption,2003,24700.00034,
Angola,Natural gas (including LNG) - final consumption,2002,23560.0018,
Angola,Natural gas (including LNG) - final consumption,2001,20140,
Angola,Natural gas (including LNG) - final consumption,2000,22040,
